ID,Blade_Length_m,Root_Chord_mm,Material,Applied_Load_Pa,Status,Max_Deformation_m,Max_Equiv_Stress_Pa
BL1.2_C150_AL_P1500,1.2,150,Aluminium,1500,Updated,0.036376,29128000.0
BL1.2_C150_FBG_P500,1.2,150,Fiberglass,500,Updated,0.03351,9713000.0
BL1.2_C150_FBG_P1000,1.2,150,Fiberglass,1000,Updated,0.06702,19426000.0
BL1.2_C150_FBG_P1500,1.2,150,Fiberglass,1500,Updated,0.10053,29139000.0
BL1.2_C150_CBF_P500,1.2,150,Carbon fiber,500,Updated,0.0069766,9710800.0
BL1.2_C150_CBF_P1000,1.2,150,Carbon fiber,1000,Updated,0.013953,19422000.0
BL1.2_C150_CBF_P1500,1.2,150,Carbon fiber,1500,Updated,0.02093,29132000.0
BL1.2_C200_AL_P500,1.2,200,Aluminium,500,Updated,0.0052829,5406500.0
BL1.2_C200_AL_P1000,1.2,200,Aluminium,1000,Updated,0.010566,10813000.0
BL1.2_C200_AL_P1500,1.2,200,Aluminium,1500,Updated,0.015849,16220000.0
BL1.2_C200_FBG_P500,1.2,200,Fiberglass,500,Updated,0.014602,5409400.0
BL1.2_C200_FBG_P1000,1.2,200,Fiberglass,1000,Updated,0.029204,10819000.0
BL1.2_C200_FBG_P1500,1.2,200,Fiberglass,1500,Updated,0.043806,16228000.0
BL1.2_C200_CBF_P500,1.2,200,Carbon fiber,500,Updated,0.0030398,5407800.0
BL1.2_C200_CBF_P1000,1.2,200,Carbon fiber,1000,Updated,0.0060797,10816000.0
BL1.2_C200_CBF_P1500,1.2,200,Carbon fiber,1500,Updated,0.0091195,16223000.0
BL1.2_C300_AL_P500,1.2,300,Aluminium,500,Updated,0.0016311,2412800.0
BL1.2_C300_AL_P1000,1.2,300,Aluminium,1000,Updated,0.0032622,4825700.0
BL1.2_C300_AL_P1500,1.2,300,Aluminium,1500,Updated,0.0048933,7238500.0
BL1.2_C300_FBG_P500,1.2,300,Fiberglass,500,Updated,0.0045101,2417300.0
BL1.2_C300_FBG_P1000,1.2,300,Fiberglass,1000,Updated,0.0090201,4834600.0
BL1.2_C300_FBG_P1500,1.2,300,Fiberglass,1500,Updated,0.01353,7251900.0
BL1.2_C300_CBF_P500,1.2,300,Carbon fiber,500,Updated,0.00093872,2414800.0
BL1.2_C300_CBF_P1000,1.2,300,Carbon fiber,1000,Updated,0.0018774,4829700.0
BL1.2_C300_CBF_P1500,1.2,300,Carbon fiber,1500,Updated,0.0028162,7244500.0
BL1.6_C150_AL_P500,1.6,150,Aluminium,500,Updated,0.038016,17277000.0
BL1.6_C150_AL_P1000,1.6,150,Aluminium,1000,Updated,0.076033,34554000.0
BL1.6_C150_AL_P1500,1.6,150,Aluminium,1500,Updated,0.11405,51832000.0
BL1.6_C150_FBG_P500,1.6,150,Fiberglass,500,Updated,0.10503,17281000.0
BL1.6_C150_FBG_P1000,1.6,150,Fiberglass,1000,Updated,0.21005,34563000.0
BL1.6_C150_FBG_P1500,1.6,150,Fiberglass,1500,Updated,0.31508,51844000.0
BL1.6_C150_CBF_P500,1.6,150,Carbon fiber,500,Updated,0.02187,17279000.0
BL1.6_C150_CBF_P1000,1.6,150,Carbon fiber,1000,Updated,0.04374,34558000.0
BL1.6_C150_CBF_P1500,1.6,150,Carbon fiber,1500,Updated,0.06561,51837000.0
BL1.6_C200_AL_P500,1.6,200,Aluminium,500,Updated,0.016454,9632800.0
BL1.6_C200_AL_P1000,1.6,200,Aluminium,1000,Updated,0.032908,19266000.0
BL1.6_C200_AL_P1500,1.6,200,Aluminium,1500,Updated,0.049362,28898000.0
BL1.6_C200_FBG_P500,1.6,200,Fiberglass,500,Updated,0.045463,9636500.0
BL1.6_C200_FBG_P1000,1.6,200,Fiberglass,1000,Updated,0.090925,19273000.0
BL1.6_C200_FBG_P1500,1.6,200,Fiberglass,1500,Updated,0.13639,28910000.0
BL1.6_C200_CBF_P500,1.6,200,Carbon fiber,500,Updated,0.0094662,9634400.0
BL1.6_C200_CBF_P1000,1.6,200,Carbon fiber,1000,Updated,0.018932,19269000.0
BL1.6_C200_CBF_P1500,1.6,200,Carbon fiber,1500,Updated,0.028399,28903000.0
BL1.6_C300_AL_P500,1.6,300,Aluminium,500,Updated,0.0050107,4305700.0
BL1.6_C300_AL_P1000,1.6,300,Aluminium,1000,Updated,0.010021,8611400.0
BL1.6_C300_AL_P1500,1.6,300,Aluminium,1500,Updated,0.015032,12917000.0
BL1.6_C300_FBG_P500,1.6,300,Fiberglass,500,Updated,0.013846,4310400.0
BL1.6_C300_FBG_P1000,1.6,300,Fiberglass,1000,Updated,0.027693,8620800.0
BL1.6_C300_FBG_P1500,1.6,300,Fiberglass,1500,Updated,0.041539,12931000.0
BL1.6_C300_CBF_P500,1.6,300,Carbon fiber,500,Updated,0.0028829,4307800.0
BL1.6_C300_CBF_P1000,1.6,300,Carbon fiber,1000,Updated,0.0057658,8615600.0
BL1.6_C300_CBF_P1500,1.6,300,Carbon fiber,1500,Updated,0.0086486,12923000.0
